epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,63.8733,1.80366,1.5391,1.43295,0.30511,0.42778,0.25859,0.11077,2.41997,2.73257,1.99749,0.000402747,0.000402747,0.000402747
42,65.1196,1.41794,1.28654,1.29935,0.30511,0.42778,0.25859,0.11077,2.41997,2.73257,1.99749,0.00040605,0.00040605,0.00040605
43,66.5282,1.50971,1.21913,1.30308,0.31086,0.31667,0.28591,0.08876,2.48578,2.50183,2.03478,0.000409022,0.000409022,0.000409022
44,68.1898,1.37516,1.10621,1.21326,0.31086,0.31667,0.28591,0.08876,2.48578,2.50183,2.03478,0.000411664,0.000411664,0.000411664
45,69.8126,1.59896,1.32385,1.32733,0.22049,0.41843,0.26951,0.07905,2.50694,2.5762,1.99465,0.000413976,0.000413976,0.000413976
46,71.0662,1.50035,1.3027,1.34451,0.22049,0.41843,0.26951,0.07905,2.50694,2.5762,1.99465,0.000415958,0.000415958,0.000415958
47,72.3826,1.42084,1.11862,1.20433,0.42218,0.35643,0.31237,0.08341,2.43401,2.44894,1.96791,0.00041761,0.00041761,0.00041761
48,73.5644,1.55309,1.30669,1.28975,0.42218,0.35643,0.31237,0.08341,2.43401,2.44894,1.96791,0.000418932,0.000418932,0.000418932
49,74.7801,1.55929,1.24101,1.29536,0.28868,0.37503,0.30543,0.09115,2.445,2.30667,1.98975,0.000419924,0.000419924,0.000419924
50,75.988,1.49491,1.2885,1.30848,0.28868,0.37503,0.30543,0.09115,2.445,2.30667,1.98975,0.000420586,0.000420586,0.000420586
51,77.2818,1.53781,1.17691,1.20543,0.3015,0.23889,0.21906,0.0731,2.49805,2.37933,1.99837,0.000420918,0.000420918,0.000420918
52,78.4769,1.43974,1.17415,1.27779,0.3015,0.23889,0.21906,0.0731,2.49805,2.37933,1.99837,0.000420919,0.000420919,0.000420919
53,79.7436,1.52556,1.27111,1.31485,0.3015,0.23889,0.21906,0.0731,2.49805,2.37933,1.99837,0.000420591,0.000420591,0.000420591
54,81.5468,1.52481,1.20845,1.24814,0.48148,0.33929,0.3052,0.10699,2.40024,2.22458,1.95613,0.000419932,0.000419932,0.000419932
55,83.1437,1.38444,1.04448,1.17456,0.48148,0.33929,0.3052,0.10699,2.40024,2.22458,1.95613,0.000418944,0.000418944,0.000418944
56,84.3696,1.51821,1.12865,1.26397,0.48148,0.33929,0.3052,0.10699,2.40024,2.22458,1.95613,0.000417625,0.000417625,0.000417625
57,85.6561,1.47242,1.11708,1.19914,0.36983,0.55,0.45416,0.17772,2.14109,2.03545,1.76573,0.000415977,0.000415977,0.000415977
